1,Smartphone Samsung Galaxy S21,1199.99,5,2023-09-12 10:30:45
2,Laptop Dell XPS 13,1499.00,4,2023-09-12 10:31:22
3,TV Sony Bravia 4K,899.99,3,2023-09-12 10:32:01
4,Apple iPhone 13 Pro,1099.00,7,2023-09-12 10:32:36
5,PlayStation 5,499.99,6,2023-09-12 10:33:14
6,MacBook Air,999.00,4,2023-09-12 10:33:50
7,Canon EOS 90D DSLR Camera,799.99,2,2023-09-12 10:34:25
8,Smartwatch Garmin Fenix 6,499.00,5,2023-09-12 10:35:04
9,Bose QuietComfort 35 II Headphones,349.99,3,2023-09-12 10:35:40
10,Xbox Series X,599.00,6,2023-09-12 10:36:15
11,GoPro Hero 9 Black,449.99,4,2023-09-12 10:36:53
12,Sony WH-1000XM4 Wireless Headphones,299.00,3,2023-09-12 10:37:30
13,Samsung 55-Inch QLED TV,899.99,2,2023-09-12 10:38:05
14,Apple iPad Air,599.00,4,2023-09-12 10:38:44
15,Kindle Paperwhite,129.99,3,2023-09-12 10:39:20
16,Dyson V11 Cordless Vacuum Cleaner,599.99,5,2023-09-12 10:39:56
17,Google Nest Hub Max,229.00,4,2023-09-12 10:40:33
18,Samsung Galaxy Watch 4,249.99,3,2023-09-12 10:41:10
19,Breville Barista Express Espresso Machine,699.00,2,2023-09-12 10:41:46
20,Sonos Beam Soundbar,399.99,6,2023-09-12 10:42:23
21,Instant Pot Duo Nova,99.95,4,2023-09-12 10:43:01
22,Nintendo Switch,299.00,3,2023-09-12 10:43:39
23,Smartphone Samsung Galaxy S21,1199.99,6,2023-09-12 10:44:15
24,Laptop Dell XPS 13,1499.00,5,2023-09-12 10:44:52
25,TV Sony Bravia 4K,899.99,4,2023-09-12 10:45:29
26,Apple iPhone 13 Pro,1099.00,8,2023-09-12 10:46:04
27,PlayStation 5,499.99,7,2023-09-12 10:46:40
28,MacBook Air,999.00,5,2023-09-12 10:47:16
29,Canon EOS 90D DSLR Camera,799.99,3,2023-09-12 10:47:53
30,Smartwatch Garmin Fenix 6,499.00,6,2023-09-12 10:48:29
31,Bose QuietComfort 35 II Headphones,349.99,4,2023-09-12 10:49:06
32,Xbox Series X,599.00,7,2023-09-12 10:49:43
33,GoPro Hero 9 Black,449.99,5,2023-09-12 10:50:19
34,Sony WH-1000XM4 Wireless Headphones,299.00,4,2023-09-12 10:50:55
35,Samsung 55-Inch QLED TV,899.99,3,2023-09-12 10:51:31
36,Apple iPad Air,599.00,5,2023-09-12 10:52:07
37,Kindle Paperwhite,129.99,4,2023-09-12 10:52:44
38,Dyson V11 Cordless Vacuum Cleaner,599.99,6,2023-09-12 10:53:20
39,Google Nest Hub Max,229.00,5,2023-09-12 10:53:56
40,Samsung Galaxy Watch 4,249.99,4,2023-09-12 10:54:32
41,Breville Barista Express Espresso Machine,699.00,3,2023-09-12 10:55:08
42,Sonos Beam Soundbar,399.99,7,2023-09-12 10:55:45
43,Instant Pot Duo Nova,99.95,5,2023-09-12 10:56:21
44,Nintendo Switch,299.00,4,2023-09-12 10:56:57
45,Smartphone Samsung Galaxy S21,1199.99,7,2023-09-12 10:57:33
46,Laptop Dell XPS 13,1499.00,6,2023-09-12 10:58:09
47,TV Sony Bravia 4K,899.99,5,2023-09-12 10:58:45
48,Apple iPhone 13 Pro,1099.00,9,2023-09-12 10:59:21
49,PlayStation 5,499.99,8,2023-09-12 10:59:57
50,MacBook Air,999.00,6,2023-09-12 11:00:33
